track_name,artist,popularity,track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Forever After All,Luke Combs,86,6IBcOGPsniK3Pso1wHIhew,country,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
Be Like That - feat. Swae Lee & Khalid,Kane Brown,87,5f1joOtoMeyppIcJGZQvqJ,country,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4
One Of Them Girls,Lee Brice,80,14GwnOeC9qYEKEA6uOZepa,country,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,188893,4
7 Summers,Morgan Wallen,81,0tbjiOUl4k492KPdWZS9sy,country,0.457,0.774,0,-5.201,1,0.0336,0.428,4.29e-05,0.119,0.59,203.863,210123,4
Whiskey Glasses,Morgan Wallen,81,6foY66mWZN0pSRjZ408c00,country,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
Beautiful Crazy,Luke Combs,81,2rxQMGVafnNaRaXlRMWPde,country,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4
Got What I Got,Jason Aldean,78,4TCc369aRPRubv1m8R1TBG,country,0.512,0.58,3,-6.658,0,0.029,0.621,1.72e-05,0.513,0.303,159.847,178147,3
More Than My Hometown,Morgan Wallen,80,0eBXyY4SatzpE7opnzgXvz,country,0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014,216573,4
Chasin' You,Morgan Wallen,80,5MwynWK9s4hlyKHqhkNn4A,country,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
Pretty Heart,Parker McCollum,77,6vC90OOjZR165Hw8CpsqEm,country,0.562,0.683,7,-4.427,1,0.0296,0.00531,0.0,0.107,0.385,132.003,244798,4
I Hope,Gabby Barrett,79,23T0OX7QOiIUFShSzbJ5Uo,country,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,210773,4
"10,000 Hours (with Justin Bieber)",Dan + Shay,85,2wrJq5XKLnmhRXHIAf9xBa,country,0.654,0.63,10,-4.644,1,0.0259,0.153,0.0,0.111,0.43,89.991,167693,4
Tennessee Whiskey,Chris Stapleton,79,3fqwjXwUGN6vbzIwvyFMhx,country,0.392,0.37,9,-10.888,1,0.0298,0.205,0.0096,0.0821,0.512,48.718,293293,4
The Bones,Maren Morris,79,7yFhA2fUsL2oIMWlw5DaHQ,country,0.612,0.57,11,-6.642,0,0.0347,0.278,0.0,0.0963,0.334,77.002,197293,4
One Man Band,Old Dominion,77,7cA3PnUQDlUyBBwpRozQeo,country,0.706,0.358,6,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,186240,4
I Should Probably Go To Bed,Dan + Shay,78,5ovVcYo2MvjVydFwFyaaqy,country,0.721,0.277,1,-7.128,1,0.0365,0.634,0.0,0.112,0.309,131.935,171827,4
Beer Never Broke My Heart,Luke Combs,78,7aEtlGHoiPAfRB084NiDmx,country,0.538,0.863,1,-4.483,1,0.0481,0.0139,0.0,0.0874,0.637,77.001,186733,4
Cover Me Up,Morgan Wallen,78,7Jd0VVrzeTTWipxSzJ81aC,country,0.525,0.437,2,-8.285,1,0.0272,0.236,7.03e-06,0.121,0.195,127.994,292663,3
When It Rains It Pours,Luke Combs,78,1mMLMZYXkMueg65jRRWG1l,country,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,240760,4
Love You Like I Used To,Russell Dickerson,76,1D7cfiC5mxqHfTCcOiRBej,country,0.501,0.788,10,-4.624,1,0.0415,0.12,0.0,0.137,0.61,152.047,186613,4
Chicken Fried,Zac Brown Band,77,3eBnEo9WL34ulBCZlLpUQO,country,0.566,0.713,6,-4.25,1,0.0417,0.645,0.0,0.114,0.807,169.864,238147,4
Die A Happy Man,Thomas Rhett,75,5kNe7PE09d6Kvw5pAsx23n,country,0.595,0.389,2,-9.245,1,0.0349,0.418,1.39e-06,0.116,0.4,166.052,227427,4
Hurricane,Luke Combs,77,6xHI9KjUjYT0FPtGO8Mxa1,country,0.464,0.813,10,-6.185,1,0.0416,0.0153,0.0,0.254,0.515,75.977,222533,4
Wagon Wheel,Darius Rucker,76,3xdjjKMcMOFgo1eQrfbogM,country,0.537,0.66,9,-7.174,1,0.0296,0.455,0.0,0.135,0.574,148.096,298373,4
Starting Over,Chris Stapleton,76,3TNSVsiFngfe68UJpMq1oS,country,0.638,0.538,10,-8.445,1,0.0315,0.452,0.000415,0.0695,0.318,89.124,240413,4
"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,76,5FmvaZGd6fulojSToozLRD,country,0.516,0.745,2,-8.352,1,0.0774,0.563,0.0,0.275,0.825,186.004,173173,3
Heaven,Kane Brown,76,1HXy5I3HTWq8OvxCn0z7G7,country,0.677,0.556,9,-6.544,1,0.0306,0.263,0.0,0.105,0.521,80.009,179507,4
She Got the Best of Me,Luke Combs,77,698eQRku24PIYPQPHItKlA,country,0.533,0.907,11,-3.793,1,0.0406,0.0292,0.0,0.386,0.7,150.99,183160,4
Some Girls,Jameson Rodgers,75,54eUv9Q3D9MZuOGS5PSflp,country,0.431,0.831,8,-5.108,1,0.0474,0.0791,0.0,0.312,0.352,167.96,184893,4
Happy Anywhere (feat. Gwen Stefani),Blake Shelton,75,2DwbFtfC6sXBiVDPmju8Dd,country,0.538,0.745,8,-5.774,1,0.0387,0.1,0.0,0.063,0.669,165.755,170173,4
Lovin' On You,Luke Combs,76,0nYvjcSlCgjcwogQAwIwNp,country,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,194867,4
"Big, Big Plans",Chris Lane,75,7yNJCsUH3tXlpQiHSsAc5l,country,0.574,0.58,7,-6.091,1,0.0278,0.076,0.0,0.12,0.4,149.974,187307,4
Rumor,Lee Brice,74,56eGOeSsqdg3FLxdo83TwV,country,0.655,0.56,9,-6.857,1,0.0486,0.749,0.0,0.115,0.599,140.975,198440,4
Ain't Always The Cowboy,Jon Pardi,74,77XoAnllT85lmR9WP0D8dS,country,0.539,0.837,9,-3.458,1,0.0385,0.0094,0.0,0.262,0.551,151.913,220881,4
Feathered Indians,Tyler Childers,75,2tgQaL85WoRfgEa4hFQgrE,country,0.536,0.574,7,-6.705,1,0.0254,0.75,0.00277,0.105,0.877,87.194,224947,4
Just the Way,Parmalee,74,5PAvFGse5jjDH9ke8Mae7D,country,0.426,0.829,9,-2.84,1,0.0569,0.107,0.0,0.317,0.814,180.241,193880,4
Play It Again,Luke Bryan,74,03fT3OHB9KyMtGMt2zwqCT,country,0.506,0.886,11,-3.225,1,0.0655,0.0916,0.0,0.0734,0.595,143.935,226867,4
Die From A Broken Heart,Maddie & Tae,74,3DA4SE262k6rdEtlHteNyq,country,0.596,0.522,9,-6.633,1,0.0358,0.373,0.0,0.291,0.443,76.042,188320,4
Speechless,Dan + Shay,76,3GJ4hzg4lrGwU51Y3VARbF,country,0.616,0.438,1,-5.968,1,0.0298,0.356,0.0,0.24,0.386,135.929,213387,4
I Wish Grandpas Never Died,Riley Green,74,7Dxes6VnfbZYV0S2QTnVuT,country,0.445,0.492,6,-5.717,1,0.0294,0.036,0.0,0.122,0.24,148.013,250413,4
What Ifs (feat. Lauren Alaina),Kane Brown,74,7zVCrzzEJU7u24sbJPXA5W,country,0.612,0.799,10,-4.603,1,0.0275,0.00898,0.0,0.172,0.687,125.976,188253,4
Dirt Road Anthem,Jason Aldean,73,2qYsSHsYkihWx043HVJQRV,country,0.68,0.741,2,-5.055,1,0.0357,0.347,1.87e-06,0.117,0.635,127.024,229400,4
Lady May,Tyler Childers,75,3t5OV1asJHmOlf23T08CLv,country,0.539,0.16,3,-13.285,1,0.0329,0.881,0.000268,0.105,0.322,81.446,183533,4
Hard To Forget,Sam Hunt,74,10xuH52YSXHWFwCaF1fsDd,country,0.689,0.689,4,-5.517,1,0.045,0.23,0.0,0.57,0.664,130.069,204760,4
In Case You Didn't Know,Brett Young,75,10M2Ex445zw585Ducldzkw,country,0.607,0.536,10,-7.306,1,0.0305,0.386,0.0,0.102,0.434,147.986,224853,4
You Make It Easy,Jason Aldean,72,6EGAfJaLUFzhS4zRBIEQ2J,country,0.375,0.574,7,-5.305,1,0.0315,0.143,0.0,0.11,0.406,132.025,196800,3
Before He Cheats,Carrie Underwood,75,0ZUo4YjG4saFnEJhdWp9Bt,country,0.519,0.749,6,-3.318,0,0.0405,0.271,0.0,0.119,0.29,147.905,199947,4
Body Like A Back Road,Sam Hunt,74,7mldq42yDuxiUNn08nvzHO,country,0.732,0.458,5,-7.225,1,0.0311,0.447,0.0,0.136,0.661,98.938,165387,4
I Hope You’re Happy Now,Carly Pearce,74,0Al3wN3keprGTSgG8NBwjr,country,0.591,0.815,10,-4.725,1,0.0366,0.168,8.68e-06,0.142,0.306,118.024,198689,4
Springsteen,Eric Church,73,05ZACkzW8YbRq3eFgIfSNB,country,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,263387,4
Even Though I'm Leaving,Luke Combs,75,5Fhe63YOMZsGdB3CgCDuBi,country,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962,225253,4
God's Country,Blake Shelton,73,1dyxS3YzBbL0t8rEVwVQ1K,country,0.538,0.752,10,-5.106,1,0.0396,0.0608,5.39e-06,0.118,0.217,139.984,205107,4
Almost Maybes,Jordan Davis,74,14JFKtBSqefxfMiKhq6JT8,country,0.582,0.868,11,-3.927,1,0.0522,0.146,0.0,0.103,0.555,90.105,179153,4
One Margarita,Luke Bryan,73,6NhS5LwYbJ6xD7BGvlWRJO,country,0.641,0.842,9,-4.872,1,0.0464,0.0969,0.0,0.169,0.738,89.997,193427,4
