track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),0ofHAoxe9vBkTCp2UQIavz,0.9,0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,120.151,257800,4
Sweater Weather,The Neighbourhood,I Love You.,2QjOHCTQ1Jl3zawyYOpxh6,0.87,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,240400,4
Are You Bored Yet? (feat. Clairo),Wallows,Nothing Happens,57RA3JGafJm5zRtKJiKPIm,0.86,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
Electric Love,BØRNS,Dopamine,2GiJYvgVaD2HtM8GqD9EgQ,0.87,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,218107,4
Daddy Issues,The Neighbourhood,Wiped Out!,5E30LdtzQTGqRvNd7l6kG5,0.86,0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,85.012,260173,4
Tongue Tied,Grouplove,Never Trust a Happy Song,0GO8y8jQk1PkHzS31d699N,0.82,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4
Bang!,AJR,Bang!,53BHUFdQphHiZUUG3nx9zn,0.78,0.74,0.516,1,-6.233,0,0.0507,0.0183,0.0,0.0558,0.698,139.918,170858,4
One Of Them Girls,Lee Brice,One Of Them Girls,14GwnOeC9qYEKEA6uOZepa,0.8,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,188893,4
The Chain - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),5e9TFTbltYBg2xThimr0rU,0.82,0.545,0.67,9,-8.81,1,0.0496,0.009,0.000822,0.0451,0.481,151.553,270213,4
505,Arctic Monkeys,Favourite Worst Nightmare (Standard Version),58ge6dfP91o9oXMzq3XkIS,0.76,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,140.267,253587,4
Landslide,Fleetwood Mac,Fleetwood Mac,5ihS6UUlyQAfmp48eSkxuQ,0.8,0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,199493,4
Pumped Up Kicks,Foster The People,Torches,7w87IxuO7BDcJ3YUqCyMTT,0.84,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
Blood // Water,grandson,a modern tragedy vol. 1,7clyJIrLkEbXUDwj1tC9zz,0.76,0.504,0.891,6,-5.632,0,0.137,0.00163,0.00199,0.148,0.628,153.988,214520,4
Believer,Imagine Dragons,Evolve,0pqnGHJpmpxLKifKRmU6WP,0.87,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4
Riptide,Vance Joy,Dream Your Life Away (Special Edition),3JvrhDOgAt6p7K8mDyZwRd,0.78,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280,4
Highway to Hell,AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,0.84,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4
Mr Loverman,Ricky Montgomery,Montgomery Ricky,0MF5QHFzTUM2dYm6J7Vngt,0.81,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,216880,3
Back In Black,AC/DC,Back In Black,08mG3Y1vljYA6bvDt4Wqkj,0.84,0.31,0.7,9,-5.678,1,0.047,0.011,0.00965,0.0828,0.763,188.386,255493,4
Fortunate Son,Creedence Clearwater Revival,Willy And The Poor Boys,4BP3uh0hFLFRb5cjsgLqDh,0.81,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,2RlgNHKcydI9sayD2Df2xp,0.81,0.388,0.338,10,-10.054,1,0.0328,0.652,3.72e-06,0.248,0.477,177.784,303373,4
Mr. Brightside,The Killers,Hot Fuss,7oK9VyNzrYvRFo7nQEYkWN,0.76,0.356,0.924,1,-3.74,1,0.0808,0.00101,0.0,0.0953,0.232,148.017,222587,4
Can I Call You Tonight?,Dayglow,Fuzzybrain,64lsIF5pw0sJY0gV5kz0RN,0.82,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,278769,4
Cigarette Daydreams,Cage The Elephant,Melophobia,2tznHmp70DxMyr2XhWLOW0,0.75,0.635,0.675,2,-3.445,1,0.0263,0.0801,0.0,0.0831,0.273,113.946,208760,4
Everybody Talks,Neon Trees,Picture Show,2iUmqdfGZcHIhS3b9E9EWq,0.79,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
Sweet Home Alabama,Lynyrd Skynyrd,Second Helping,7e89621JPkKaeDSTQ3avtg,0.82,0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,283800,4
Africa,TOTO,Toto IV,2374M0fQpWi3dLnB54qaLX,0.83,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,4
