track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Forever After All,Luke Combs,What You See Ain't Always What You Get (Deluxe Edition),6IBcOGPsniK3Pso1wHIhew,0.86,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,232533,4
Be Like That - feat. Swae Lee & Khalid,Kane Brown,Be Like That (feat. Swae Lee & Khalid),5f1joOtoMeyppIcJGZQvqJ,0.87,0.727,0.626,7,-8.415,1,0.0726,0.0469,2.58e-05,0.126,0.322,86.97,191406,4
One Of Them Girls,Lee Brice,One Of Them Girls,14GwnOeC9qYEKEA6uOZepa,0.8,0.643,0.79,4,-6.079,1,0.0462,0.294,0.0,0.107,0.8,95.987,188893,4
7 Summers,Morgan Wallen,7 Summers,0tbjiOUl4k492KPdWZS9sy,0.81,0.457,0.774,0,-5.201,1,0.0336,0.428,4.29e-05,0.119,0.59,203.863,210123,4
Whiskey Glasses,Morgan Wallen,If I Know Me,6foY66mWZN0pSRjZ408c00,0.81,0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,149.959,234347,4
Beautiful Crazy,Luke Combs,This One's for You Too (Deluxe Edition),2rxQMGVafnNaRaXlRMWPde,0.81,0.551,0.402,11,-7.431,1,0.0262,0.676,0.0,0.0928,0.382,103.313,193200,4
Got What I Got,Jason Aldean,9,4TCc369aRPRubv1m8R1TBG,0.79,0.512,0.58,3,-6.658,0,0.029,0.621,1.72e-05,0.513,0.303,159.847,178147,3
More Than My Hometown,Morgan Wallen,More Than My Hometown,0eBXyY4SatzpE7opnzgXvz,0.8,0.621,0.882,6,-5.01,1,0.0459,0.601,0.0,0.132,0.574,126.014,216573,4
Chasin' You,Morgan Wallen,If I Know Me,5MwynWK9s4hlyKHqhkNn4A,0.8,0.631,0.591,7,-5.785,1,0.0277,0.657,0.0,0.11,0.489,97.074,205453,4
Pretty Heart,Parker McCollum,Pretty Heart,6vC90OOjZR165Hw8CpsqEm,0.78,0.562,0.683,7,-4.427,1,0.0296,0.00531,0.0,0.107,0.385,132.003,244798,4
I Hope,Gabby Barrett,Goldmine,23T0OX7QOiIUFShSzbJ5Uo,0.8,0.466,0.536,6,-6.227,1,0.0429,0.0951,0.0,0.114,0.377,75.998,210773,4
