track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Nanã,Polo & Pan,Caravelle,0Psz3az3RIYfJpnsajBT8N,0.66,0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,0.385,94.035,190827,3
Canopée,Polo & Pan,Caravelle,260V7huyJrXnyYe0dFv2Fa,0.67,0.704,0.692,5,-6.558,0,0.0304,0.0942,0.0109,0.0922,0.369,96.005,276293,4
"People, I've been sad",Christine and the Queens,La vita nuova,5stdNNY7SUv12p5sLkaBlL,0.64,0.632,0.378,1,-9.096,0,0.0362,0.257,0.000104,0.143,0.223,77.98,260877,4
Feel Good,Polo & Pan,Feel Good,3NMFWhIDAdDGX3xmXOxHyo,0.62,0.643,0.748,2,-6.535,0,0.0386,0.235,0.191,0.815,0.583,96.004,238465,4
Tilted,Christine and the Queens,Christine and the Queens,4U6GYrZi0xvNkUmFitCDED,0.52,0.872,0.361,7,-9.88,1,0.0609,0.283,0.00262,0.108,0.489,100.001,233247,4
Soy Yo,Bomba Estéreo,Amanecer,4Egb5xP6cniUx0kgZd5zLB,0.62,0.888,0.581,11,-7.631,0,0.172,0.04,0.000221,0.0788,0.798,117.039,159800,4
To My Love - Tainy Remix,Bomba Estéreo,Amanecer (Remixed),5LciLoxa1gK70yIUeoHgRx,0.69,0.764,0.59,7,-4.292,1,0.0395,0.129,0.00847,0.0851,0.281,99.996,251773,4
Toi Et Moi,Paradis,Recto Verso,3AVyKOmMgvRjsC576xWw78,0.59,0.703,0.76,11,-7.308,0,0.0635,0.00412,0.761,0.111,0.608,113.01,220853,4
Feel Good,Polo & Pan,Feel Good,1ZFsgzYeQuF8IbQgmju5ap,0.54,0.643,0.752,2,-6.536,0,0.039,0.234,0.192,0.821,0.582,96.001,240053,4
Attrape-rêve,Polo & Pan,Feel Good,0aTaTaROrLwQokUSudVKIe,0.55,0.769,0.641,9,-8.408,0,0.0505,0.166,0.507,0.0983,0.877,149.003,224747,4
Zoom Zoom,Polo & Pan,Caravelle,1gWnuGAiTk3Q4yrIbwymUK,0.57,0.678,0.849,7,-6.983,1,0.0367,0.0459,0.613,0.0833,0.502,94.003,209800,4
Dorothy,Polo & Pan,Dorothy,2GuIRSthEpYN5MO6PGD7Vx,0.59,0.803,0.427,8,-10.819,1,0.0509,0.0245,0.405,0.0953,0.439,118.008,316373,4
dominique,Ela Minus,dominique,6U0yPo1UvnR7YyKeFLqBYk,0.54,0.703,0.819,11,-6.579,1,0.0553,0.0203,0.782,0.0712,0.468,100.997,234383,4
Pays imaginaire,Polo & Pan,Caravelle,7i5I4h7r2vkI2r9tgKjy0x,0.53,0.269,0.537,1,-5.682,1,0.0302,0.77,0.00322,0.0891,0.0756,79.304,289720,4
Je t'aime encore,Yelle,Je t'aime encore,0SANyOWaoaLPN7eFcEAXyy,0.54,0.517,0.594,5,-8.763,1,0.0414,0.361,0.0055,0.106,0.221,100.043,217230,4
Carismático - [Blank],Babasónicos,Éxitos del Rock en Español,0SiYMZJNJgZGXZBeEzZXZu,0.0,0.683,0.924,7,-4.815,1,0.0348,0.0516,2.43e-06,0.0988,0.745,137.029,155920,4
Yegua - [Blank],Babasónicos,El Brillo del Rock Latino,0CRWST0oWTtGBaSz8FS3Em,0.07,0.667,0.91,11,-5.182,0,0.0278,0.242,0.0,0.512,0.819,137.056,149560,4
Yegua - [Blank],Babasónicos,Munchies De Rock Latino,2eCJXaBNHnNCPw4l4xOmCc,0.07,0.667,0.91,11,-5.182,0,0.0278,0.242,0.0,0.512,0.819,137.056,149560,4
Flora y Fauno,Babasónicos,Picada Time,3c1NXzNrI71K35Gej5nI81,0.07,0.516,0.612,4,-6.798,0,0.0278,0.449,0.083,0.309,0.441,110.412,254680,4
Puesto - [Blank],Babasónicos,Con amigos es mejor,25cV1LjOdzIjDyrDZaaqT2,0.01,0.592,0.739,5,-6.433,1,0.0236,0.377,0.00559,0.123,0.642,102.989,206093,4
Carismático - [Blank],Babasónicos,Alegría Familiar,4hztIiAgWu2CG5USLefzdX,0.05,0.683,0.924,7,-4.815,1,0.0348,0.0516,2.43e-06,0.0988,0.745,137.029,155920,4
Escamas,Babasónicos,Picada Time,1INTCQyNYe0ntIWgLDHK4e,0.02,0.681,0.869,4,-5.873,0,0.0309,0.324,9.01e-05,0.0862,0.563,122.106,173667,4
Como Eran Las Cosas,Babasónicos,Relajarse con Rock,3AH93jU3flQYQUNd2DRS71,0.0,0.696,0.448,8,-9.099,1,0.0333,0.452,2.43e-05,0.0904,0.569,95.004,242520,4
El Colmo - [Blank],Babasónicos,Con amigos es mejor,7m5REPRCnABJN7UZH4Zfpq,0.0,0.695,0.665,6,-5.577,0,0.0272,0.00939,1.89e-05,0.0922,0.776,124.042,160893,4
Microdancing,Babasónicos,Alegría Familiar,2GlFWPOKj2GwJ2SMx4mPf7,0.06,0.712,0.711,4,-6.364,1,0.0415,0.373,0.000151,0.0653,0.713,124.99,204707,4
En Privado,Babasónicos,Con amigos es mejor,4VhRFa69dR15CQM19wtCgR,0.01,0.675,0.652,2,-6.116,1,0.0308,0.727,1.09e-05,0.0718,0.634,84.031,234627,4
Un Flash - [Blank],Babasónicos,Alegría Familiar,6hQVm8uEeM3KYRbR1u3e90,0.01,0.61,0.763,2,-5.619,1,0.0262,0.346,0.0,0.34,0.801,131.957,147693,4
Puesto - [Blank],Babasónicos,Ritmo a media mañana,4KTncdjZtGAvpiTYeUAKdy,0.01,0.592,0.739,5,-6.433,1,0.0236,0.377,0.00559,0.123,0.642,102.989,206093,4
Barranca Abajo,Babasónicos,Picada Time,4yybGccNrariMtXtR5h56D,0.02,0.63,0.494,9,-5.925,1,0.033,0.632,0.000213,0.0871,0.754,139.997,155707,4
Puesto - [Blank],Babasónicos,Alegría Familiar,3Jw5zPHS17FVonbwwNfRBu,0.04,0.592,0.739,5,-6.433,1,0.0236,0.377,0.00559,0.123,0.642,102.989,206093,4
Microdancing,Babasónicos,Joyas del Rock,4JyDW65lZKe1XEopgJau4n,0.03,0.712,0.711,4,-6.364,1,0.0415,0.373,0.000151,0.0653,0.713,124.99,204707,4
Como Eran Las Cosas,Babasónicos,Pop amor sentimiento,15RiM2XpoRrxhBLFiirGy7,0.0,0.696,0.448,8,-9.099,1,0.0333,0.452,2.43e-05,0.0904,0.569,95.004,242520,4
El ídolo,Babasónicos,Con amigos es mejor,5iawyc9LXC2ntHxObY6q9D,0.0,0.588,0.938,7,-5.331,1,0.0382,0.0978,0.00634,0.164,0.746,111.992,153760,4
Carismático - [Blank],Babasónicos,Ritmo a media mañana,7LqefhJb5OcP2M6UgtHXNg,0.01,0.683,0.924,7,-4.815,1,0.0348,0.0516,2.43e-06,0.0988,0.745,137.029,155920,4
Carismático - [Blank],Babasónicos,Con amigos es mejor,7faai2tPJXKf4BXLRD7jGB,0.0,0.683,0.924,7,-4.815,1,0.0348,0.0516,2.43e-06,0.0988,0.745,137.029,155920,4
Carismático - [Blank],Babasónicos,¡Feliz 2021! Latin Rock,0eQwjo0L0rVk9EH7p04x1W,0.0,0.683,0.924,7,-4.815,1,0.0348,0.0516,2.43e-06,0.0988,0.745,137.029,155920,4
Un Flash - [Blank],Babasónicos,Ritmo a media mañana,16oVFtUtfxJjWbU1dEC9Ao,0.01,0.61,0.763,2,-5.619,1,0.0262,0.346,0.0,0.34,0.801,131.957,147693,4
Ciegos Por El Diezmo - [Blank],Babasónicos,Éxitos del Rock en Español,7we0n9OVDArWVNEyFFAXcx,0.0,0.44,0.826,4,-5.97,0,0.0629,0.0781,0.000477,0.115,0.161,89.99,177907,4
