track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,0.94,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,7ytR5pFWmSjzHJIeQkgog4,0.94,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,0.92,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",2MbdDtCv5LUVjYy9RuGTgC,0.89,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
Mr. Right Now (feat. Drake),21 Savage,SAVAGE MODE II,4Q34FP1AT7GEl9oLgNtiWj,0.87,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,193839,4
Tyler Herro,Jack Harlow,Tyler Herro,4DuUwzP4ALMqpquHU0ltAB,0.86,0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,156498,4
Runnin,21 Savage,SAVAGE MODE II,5SWnsxjhdcEDc7LJjq9UHk,0.87,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4
my ex's best friend (with blackbear),Machine Gun Kelly,Tickets To My Downfall,7kDUspsoYfLkWnZR7qwHZl,0.88,0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,124.939,139461,4
Wolves (feat. Post Malone),Big Sean,Detroit 2,33gwZOGJWEZ7dRWPqPxBEZ,0.86,0.724,0.675,2,-5.267,1,0.0867,0.0978,9.41e-06,0.351,0.325,160.048,199758,4
GREECE (feat. Drake),DJ Khaled,GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,0.88,0.695,0.343,5,-10.798,1,0.0432,0.0743,1.04e-06,0.107,0.229,85.84,218902,4
24 (feat. Lil Baby),Money Man,24 (feat. Lil Baby),7v96VvFLS0wSYT8kewNLRy,0.84,0.868,0.638,2,-7.746,1,0.0736,0.146,0.0565,0.0931,0.459,126.03,182857,4
GO (feat. Juice WRLD),The Kid LAROI,F*CK LOVE,2rPHUAeUPbNgTmK18FPTiZ,0.83,0.487,0.74,6,-4.973,1,0.0944,0.157,0.0,0.612,0.522,73.779,181688,4
DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,WUNNA,3nS9a01VvXHQriLqJYwRqG,0.84,0.825,0.458,0,-7.47,1,0.0577,0.114,0.0,0.102,0.161,145.115,197760,4
SO DONE,The Kid LAROI,SO DONE,5psEZhQu6lukjhavJo4AbC,0.86,0.719,0.598,9,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592,126521,4
Ballin' (with Roddy Ricch),Mustard,Perfect Ten,3QzAOrNlsabgbMwlZt7TAY,0.84,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,180435,4
We Paid (feat. 42 Dugg),Lil Baby,My Turn (Deluxe),6gxKUmycQX7uyMwJcweFjp,0.83,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,181929,4
PRACTICE,DaBaby,BLAME IT ON BABY (DELUXE),4Z5FyQlevoHoa5FsIVKZju,0.82,0.849,0.536,1,-7.307,1,0.349,0.0239,0.0,0.126,0.308,141.964,122587,4
Jocelyn Flores,XXXTENTACION,17,7m9OqQk4RVRkw9JJdeAw96,0.87,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,119133,4
No Role Modelz,J. Cole,2014 Forest Hills Drive,62vpWI1CHwFy7tMIcSStl8,0.83,0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,100.45,292987,4
MIDDLE CHILD,J. Cole,MIDDLE CHILD,2JvzF1RMd7lE3KmFlsyZD8,0.82,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,213594,4
WHATS POPPIN,Jack Harlow,Sweet Action,1jaTQ3nqY3oAAYyCTbIvnM,0.85,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,139741,4
Godzilla (feat. Juice WRLD),Eminem,Music To Be Murdered By,7FIWs0pqAYbP91WWM0vlTQ,0.86,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,210800,4
Star Shopping,Lil Peep,Star Shopping,30bqVoKjX479ab90a8Pafp,0.86,0.585,0.471,4,-9.934,0,0.0616,0.0967,0.0184,0.115,0.323,93.099,142000,4
Life Is Good (feat. Drake),Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,0.85,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,237735,4
Glock In My Lap,21 Savage,SAVAGE MODE II,6pcywuOeGGWeOQzdUyti6k,0.82,0.847,0.733,10,-6.439,0,0.16,0.00574,1.04e-05,0.151,0.202,130.029,193591,4
BOP,DaBaby,KIRK,6Ozh9Ok6h4Oi1wUSLtBseN,0.83,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,159715,4
