track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Heather,Conan Gray,Kid Krow,4xqrdfXkTW4T0RauPLv3WA,0.93,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,3
Are You Bored Yet? (feat. Clairo),Wallows,Nothing Happens,57RA3JGafJm5zRtKJiKPIm,0.86,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,178000,4
Mad at Disney,salem ilese,Mad at Disney,7aGyRfJWtLqgJaZoG9lJhE,0.89,0.738,0.621,0,-7.313,1,0.0486,0.424,7.39e-06,0.692,0.715,113.968,136839,4
Maniac,Conan Gray,Kid Krow,6KfoDhO4XUWSbnyKjNp9c4,0.84,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,185773,4
we fell in love in october,girl in red,we fell in love in october / forget her,1BYZxKSf0aTxp8ZFoeyM3d,0.83,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.959,184154,4
IDK You Yet,Alexander 23,IDK You Yet,47EWMOElkkbMp5m9SBkx7d,0.83,0.629,0.306,1,-11.735,1,0.0424,0.884,0.0776,0.124,0.191,76.994,184638,1
Mr Loverman,Ricky Montgomery,Montgomery Ricky,0MF5QHFzTUM2dYm6J7Vngt,0.81,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,216880,3
Can I Call You Tonight?,Dayglow,Fuzzybrain,64lsIF5pw0sJY0gV5kz0RN,0.81,0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,278769,4
Tongue Tied,Grouplove,Never Trust a Happy Song,0GO8y8jQk1PkHzS31d699N,0.82,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4
Moral of the Story,Ashe,Moral of the Story,2nC3QhMI9reBIOWutbU3Tj,0.82,0.572,0.406,10,-8.624,1,0.0427,0.587,4.48e-06,0.102,0.265,119.812,201084,4
Pumped Up Kicks,Foster The People,Torches,7w87IxuO7BDcJ3YUqCyMTT,0.84,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,239600,4
Everybody Talks,Neon Trees,Picture Show,2iUmqdfGZcHIhS3b9E9EWq,0.79,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,177280,4
Out of My League,Fitz and The Tantrums,More Than Just a Dream (Deluxe Edition),2AYEOC02WLhUiOoaig2SEH,0.73,0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,209386,4
Cradles,Sub Urban,Cradles,1y4jsQt7MjnZhiD1L6qFBC,0.75,0.534,0.589,1,-1.865,1,0.325,0.256,6.02e-05,0.176,0.632,78.616,209829,4
Shut Up and Dance,WALK THE MOON,TALKING IS HARD,4kbj5MwxO1bq9wjT5g9HaA,0.8,0.578,0.866,1,-3.804,1,0.0619,0.00701,0.0,0.257,0.619,128.038,199080,4
Hate The Way (feat. blackbear),G-Eazy,Hate The Way (feat. blackbear),3QGppKBPd9gHOgHJzRbVIw,0.8,0.569,0.865,4,-3.844,0,0.266,0.0673,0.0,0.312,0.361,82.011,214363,4
Sunkissed,khai dreams,Now and Then,1tD8J13a74q8fBqXwAP50j,0.76,0.766,0.354,6,-9.486,1,0.0543,0.595,0.0,0.381,0.792,153.902,126464,4
prom dress,mxmtoon,the masquerade,2xCGBWfzTe8l2kvHpgvB6M,0.77,0.56,0.674,10,-6.048,1,0.0446,0.698,0.0,0.123,0.421,119.942,197933,4
Michelle,Sir Chloe,Michelle,3sa1wUB8FAkoH95MGPGBWI,0.77,0.366,0.439,4,-5.238,1,0.0298,0.0781,1.92e-05,0.108,0.11,115.94,214088,3
Hayloft,Mother Mother,O My Heart,2kS6td1yvmpNgZTt1q5pQq,0.78,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680,4
Prom Queen,Beach Bunny,Prom Queen,6MpCaSIOfqBqbMED4kXgNY,0.76,0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,136562,4
Stuck In The Middle,Tai Verdes,Stuck In The Middle,4y3BUo2hp0MxylfbUaqRyJ,0.71,0.871,0.501,9,-8.904,1,0.0466,0.371,0.0,0.0939,0.848,119.953,196000,4
Talk Too Much,COIN,How Will You Know If You Never Try,4djIFfof5TpbSGRZUpsTXq,0.73,0.598,0.888,4,-5.119,1,0.0807,0.00947,0.0,0.347,0.482,103.966,187133,4
As the World Caves In,Matt Maltese,As the World Caves In,4JE6agBLHGA5TaF6FlqfBD,0.76,0.331,0.45,10,-5.362,1,0.034,0.365,0.00464,0.22,0.18,123.829,218755,4
Upside Down,JVKE,Upside Down,614OkajfRPH8V0ugNQnduP,0.8,0.88,0.501,2,-6.774,1,0.062,0.0494,0.0695,0.436,0.459,120.038,114500,4
This Is Home,Cavetown,This Is Home,7s8VgA8OjvwBUuigKzEGBx,0.76,0.811,0.266,7,-12.478,1,0.0406,0.56,1.05e-06,0.0962,0.211,130.044,226073,4
I Met Sarah in the Bathroom,awfultune,I Met Sarah in the Bathroom,0mr8FAnN9X70p5KRUwMIJx,0.76,0.663,0.408,0,-10.861,1,0.163,0.901,0.000691,0.16,0.227,90.191,121375,4
Without Me,Halsey,Without Me,5p7ujcrUXASCNwRaWNHR1C,0.83,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11e-06,0.0936,0.533,136.041,201661,4
broken,lovelytheband,finding it hard to smile,6XcfKZvJio9Z0fQy11GnNX,0.75,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,204878,4
You should be sad,Halsey,Manic,7lidXGPXPYLNThITAOTlkK,0.81,0.591,0.585,2,-6.35,1,0.0277,0.143,0.0,0.109,0.324,110.94,205473,4
i wanna be your girlfriend,girl in red,i wanna be your girlfriend,3h3pOvw6hjOvZxRUseB7h9,0.79,0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,204991,4
Freak (feat. REI AMI),Sub Urban,Thrill Seeker,5jkbw3FDS3bSSb4oLKYbjf,0.79,0.619,0.45,7,-11.965,0,0.515,0.433,0.0,0.513,0.41,179.755,194000,4
SUPERBLOOM,MisterWives,SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,0.75,0.558,0.889,8,-3.945,1,0.102,0.191,0.000387,0.328,0.716,170.102,213547,4
Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night,7kQkmyoHCEqwe7QwDbkSXM,0.79,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,190348,4
Hot Rod,Dayglow,Fuzzybrain,0zePbRMJ9sd7wsZRlbPQua,0.75,0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,204014,4
New Flesh,Current Joys,Wild Heart,6TEiFwaiHERpdfG6WnGed1,0.75,0.621,0.594,9,-16.066,1,0.0384,0.887,0.498,0.0917,0.698,165.863,167987,4
Devil Town,Cavetown,Cavetown,0vf2eBw2inhl8y61cYQMv2,0.75,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,0.121,0.501,99.969,179955,4
You're Somebody Else,flora cash,You're Somebody Else,0pdKRp2sUthTPe7RLWpPqQ,0.8,0.713,0.452,1,-9.638,1,0.0295,0.841,0.0038,0.105,0.235,102.963,218883,4
Moral of the Story (feat. Niall Horan),Ashe,Moral of the Story (feat. Niall Horan),2NWVdwbd2hPIzC2lyf4y63,0.78,0.599,0.374,10,-8.896,1,0.0385,0.495,0.0,0.221,0.224,119.9,198515,4
Someone To You,BANNERS,Empires On Fire,14BH4qO7pgCmIe6mgLKOK3,0.81,0.468,0.936,2,-3.683,1,0.0455,0.00568,0.0,0.24,0.663,75.05,219800,4
Backyard Boy,Claire Rosinkranz,Backyard Boy (Stripped),04F42oEuKrRComYJfJuyVR,0.77,0.817,0.635,5,-7.246,1,0.163,0.323,0.0,0.0738,0.454,138.015,129241,4
1950,King Princess,1950,0CZ8lquoTX2Dkg7Ak2inwA,0.77,0.6,0.535,4,-7.043,1,0.107,0.648,4.7e-06,0.162,0.269,71.912,225133,4
Looking Out for You,Joy Again,Looking Out for You,1lpLrlyweOShEKXT1bpcDd,0.73,0.682,0.9,9,-5.028,1,0.0873,0.0891,0.063,0.0685,0.937,100.721,179499,4
Best Day Of My Life,American Authors,"Oh, What A Life",5Hroj5K7vLpIG4FNCRIjbP,0.78,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,194240,4
Stacy,Quinn XCII,A Letter To My Younger Self,07ZQLYn9x4x3L3vxStc1zr,0.73,0.744,0.556,8,-6.97,1,0.0375,0.0858,0.0,0.1,0.505,105.006,168987,4
Boys Will Be Bugs,Cavetown,Animal Kingdom,6suYoN4gFkanqOBn5yRnJC,0.74,0.486,0.528,1,-11.722,1,0.0463,0.00387,1.4e-05,0.106,0.452,178.519,329050,4
girls,girl in red,girls,1kqc6U8hVYZhY0gFGQclCz,0.77,0.515,0.449,5,-14.468,1,0.0337,0.227,0.0357,0.171,0.792,149.966,198400,4
Animal,Neon Trees,Habits,1fBl642IhJOE5U319Gy2Go,0.71,0.482,0.833,5,-5.611,1,0.0449,0.000346,0.0,0.365,0.74,148.039,212293,4
Still Be Friends (feat. Tory Lanez & Tyga),G-Eazy,Still Be Friends (feat. Tory Lanez & Tyga),0JjM9bKm4wrwohMslcm892,0.79,0.803,0.759,7,-4.692,0,0.0494,0.00509,0.0,0.0921,0.284,104.0,213308,4
Graveyard,Halsey,Manic,2ufmtcIFdFpuUYBPXK5f67,0.78,0.667,0.583,11,-5.127,0,0.0747,0.231,4.48e-05,0.181,0.187,92.043,181806,4
sex (catching feelings),EDEN,i think you think too much of me,26ZX2JrAb8AFbr8FFfAsO7,0.75,0.413,0.521,9,-4.469,1,0.0466,0.162,0.0,0.323,0.532,103.391,218808,4
OK,Wallows,OK,0APAKxMXB7jdDs4kw1l30y,0.73,0.72,0.625,7,-6.274,1,0.0362,0.0112,0.0076,0.0999,0.818,102.006,193293,4
Arms Tonite,Mother Mother,O My Heart,1rRwwqteLePmi70PGaC8ah,0.74,0.687,0.646,4,-3.841,1,0.039,0.0973,0.000593,0.161,0.323,139.978,216667,4
Crash My Car,COIN,Dreamland,0X5mtNbqxbiTYkwj0CQc2f,0.71,0.244,0.645,5,-5.863,1,0.0456,0.00178,0.00574,0.301,0.529,183.577,188307,5
Please Notice,Christian Leave,Hope,36seMHoyXmLUNxcwzwjdF7,0.72,0.55,0.271,2,-8.451,1,0.0297,0.843,3.21e-06,0.107,0.198,111.344,116667,4
These Days,mike.,This Isn't The Album,5tsI3xxDHDgzHhn30LTQNz,0.73,0.815,0.364,2,-11.158,1,0.375,0.533,3.52e-05,0.108,0.328,129.937,268566,4
Oh Ana,Mother Mother,Touch Up,45i70K1PefHafKui2WxH0M,0.74,0.512,0.525,5,-7.152,1,0.0429,0.672,1.66e-05,0.112,0.337,128.054,197080,4
Buttercup,Hippo Campus,Landmark,6iCJCZqDJjmBxt07Oid6FI,0.68,0.623,0.763,9,-4.412,1,0.0719,0.199,6.52e-06,0.126,0.199,108.871,226610,4
Me and My Husband,Mitski,Be the Cowboy,5ErtQGRKEibK2WHaA729O8,0.74,0.497,0.639,1,-5.31,1,0.0273,0.0478,0.0,0.39,0.766,171.95,137142,4
Motion Sickness,Phoebe Bridgers,Stranger in the Alps,6LxcPUqx6noURdA5qc4BAT,0.73,0.652,0.545,1,-9.021,1,0.0358,0.774,0.0428,0.0847,0.626,107.019,229760,4
She,dodie,Human,45h4w81P5iJJTSeR0jJUQ8,0.71,0.479,0.154,2,-15.051,1,0.0369,0.755,0.0261,0.11,0.232,92.457,213612,4
Backyard Boy,Claire Rosinkranz,BeVerly Hills BoYfRiEnd,0QpOqKz66ZxHNqj2PPHiFF,0.76,0.817,0.634,5,-7.246,1,0.162,0.321,0.0,0.0735,0.453,138.015,129241,4
Bitter,FLETCHER,Bitter,5Z0AM9HW78XIyZqF2BPasr,0.76,0.724,0.594,6,-7.126,0,0.102,0.393,0.00116,0.0889,0.413,136.002,194750,4
Little Do You Know,Alex & Sierra,It's About Us,1almCHdsfikRPfVB9VrEdT,0.8,0.5,0.292,0,-8.554,1,0.0323,0.746,0.0,0.188,0.37,145.879,185200,4
Crush Culture,Conan Gray,Sunset Season,2sHwSBNDZN2yjCtgwStYt1,0.74,0.522,0.765,0,-5.395,1,0.193,0.146,0.0,0.0866,0.455,180.065,204120,4
Coffee (feat. Marc E. Bassy),Quinn XCII,A Letter To My Younger Self,4CxmynXhw78QefruycvxG8,0.71,0.831,0.452,5,-5.111,0,0.047,0.0803,0.0,0.359,0.534,93.04,180053,4
Bad At Love,Halsey,hopeless fountain kingdom (Deluxe),7y9iMe8SOB6z3NoHE2OfXl,0.74,0.675,0.751,0,-3.539,1,0.0296,0.0604,0.0,0.0893,0.612,118.384,181279,4
affection,BETWEEN FRIENDS,we just need some time together,2lTtnKQgjbrBA1qnOFhBkP,0.73,0.273,0.565,2,-7.283,1,0.248,0.516,1.68e-06,0.0855,0.298,179.518,235226,4
Scrawny,Wallows,Nothing Happens,1pNUmVxDiE8t6P1XxcZAv8,0.73,0.639,0.816,6,-5.28,0,0.0485,0.000985,0.0604,0.141,0.802,138.008,166520,4
Show Me How,Men I Trust,Show Me How,01TyFEZu6mHbffsVfxgrFn,0.72,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,215111,4
Kilby Girl,The Backseat Lovers,When We Were Friends,1170VohRSx6GwE6QDCHPPH,0.71,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,282206,4
Go Fuck Yourself,Two Feet,First Steps,4NZrZgrRoR4GwR7flWOXRI,0.79,0.765,0.327,6,-8.029,1,0.277,0.571,0.0479,0.0787,0.292,74.931,129600,4
