track_name,artist,album,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Mood (feat. iann dior),24kGoldn,Mood (feat. iann dior),3tjFYV6RSFtuktYl3ZtYcq,1.0,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,140526,4
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),2SAqBLGA283SUiwJ3xOUVI,0.94,0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,133.976,261493,4
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),4Oun2ylbjFKMPTiaSbbCih,0.97,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,187541,4
Lemonade,Internet Money,"Lemonade (feat. Gunna, Don Toliver & NAV)",02kDW379Yfd5PzW5A6vuGt,0.94,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,195429,4
Wishing Well,Juice WRLD,Legends Never Die,2U5WueTLIK5WJLD7mvDODv,0.9,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,194621,4
Come & Go (with Marshmello),Juice WRLD,Legends Never Die,2Y0wPrPQBrGhoLn14xRYCG,0.9,0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,144.991,205485,4
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,7ytR5pFWmSjzHJIeQkgog4,0.94,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,181733,4
"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]",2MbdDtCv5LUVjYy9RuGTgC,0.89,0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,145.013,227478,4
POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,0.92,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,200221,4
All Girls Are The Same,Juice WRLD,Goodbye & Good Riddance,4VXIryQMWpIdGgYR4TrjT1,0.87,0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,165820,4
Circles,Post Malone,Hollywood's Bleeding,21jGcNKet2qwijlDFuPiPb,0.9,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,215280,4
Martin & Gina,Polo G,THE GOAT,1VLtjHwRWOVJiE5Py7JxoQ,0.87,0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,93.924,132833,4
Robbery,Juice WRLD,Death Race For Love,6Hj9jySrnFppAI0sEMCZpJ,0.88,0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,159.966,240051,5
Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,285pBltuF7vW8TeWk8hdRR,0.89,0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,83.903,239836,4
Mr. Right Now (feat. Drake),21 Savage,SAVAGE MODE II,4Q34FP1AT7GEl9oLgNtiWj,0.87,0.647,0.667,5,-5.563,1,0.304,0.231,0.0,0.133,0.704,172.08,193839,4
Tyler Herro,Jack Harlow,Tyler Herro,4DuUwzP4ALMqpquHU0ltAB,0.87,0.794,0.756,5,-7.16,0,0.136,0.11,0.0,0.247,0.775,123.066,156498,4
The Box,Roddy Ricch,Please Excuse Me For Being Antisocial,0nbXyq5TXYPCO7pr3N8S4I,0.89,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,196653,4
Roses - Imanbek Remix,SAINt JHN,Roses (Imanbek Remix),2Wo6QQD1KMDWeFkkjLqwx5,0.81,0.785,0.721,8,-5.457,1,0.0506,0.0149,0.00432,0.285,0.894,121.962,176219,4
Go Crazy,Chris Brown,Slime & B,1IIKrJVP1C9N7iPtG6eOsK,0.89,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,176960,4
Runnin,21 Savage,SAVAGE MODE II,5SWnsxjhdcEDc7LJjq9UHk,0.87,0.819,0.626,10,-4.574,0,0.202,0.00748,0.101,0.167,0.415,143.01,195906,4
